"","frames_relative_to_switch","sister","Position","hurp","Position_dx"
"114",-8,"leading",21,0.606630688536547,2.08
"115",-8,"leading",22,0.602802855919114,2.184
"116",-8,"leading",23,0.598896386601734,2.288
"117",-8,"leading",24,0.594686104555822,2.392
"118",-8,"leading",25,0.591459242335402,2.496
"119",-8,"leading",26,0.586709543498811,2.6
"120",-8,"leading",27,0.584048786383595,2.704
"121",-8,"leading",28,0.580075377887172,2.808
"122",-8,"leading",29,0.577497761797584,2.912
"123",-8,"leading",30,0.573974689981118,3.016
"124",-8,"leading",31,0.569914101109466,3.12
"125",-7,"trailing",1,0.575228160752488,0
"126",-7,"trailing",2,0.600759713500004,0.104
"127",-7,"trailing",3,0.624556984771157,0.208
"128",-7,"trailing",4,0.640780607462308,0.312
"129",-7,"trailing",5,0.647248719353687,0.416
"130",-7,"trailing",6,0.648990204299187,0.52
"131",-7,"trailing",7,0.646769889590356,0.624
"132",-7,"trailing",8,0.642656880242294,0.728
"133",-7,"trailing",9,0.638881388193429,0.832
"134",-7,"trailing",10,0.636275909233842,0.936
"135",-7,"trailing",11,0.631245134351121,1.04
"136",-7,"trailing",12,0.629117408792471,1.144
"137",-7,"trailing",13,0.624993888003685,1.248
"138",-7,"trailing",14,0.620261890811679,1.352
"139",-7,"trailing",15,0.618196485318743,1.456
"140",-7,"trailing",16,0.615846924690686,1.56
"141",-7,"trailing",17,0.610349875948386,1.664
"142",-7,"trailing",18,0.607899798161693,1.768
"143",-7,"trailing",19,0.605041711090839,1.872
"144",-7,"trailing",20,0.599413915595425,1.976
"145",-7,"trailing",21,0.595040717353225,2.08
"146",-7,"trailing",22,0.590397817747363,2.184
"147",-7,"trailing",23,0.58596721912352,2.288
"148",-7,"trailing",24,0.583099135310927,2.392
"149",-7,"trailing",25,0.579593068125046,2.496
"150",-7,"trailing",26,0.577026597066264,2.6
"151",-7,"trailing",27,0.57335452862146,2.704
"152",-7,"trailing",28,0.569149569094712,2.808
"153",-7,"trailing",29,0.566651964220097,2.912
"154",-7,"trailing",30,0.562941527102001,3.016
"155",-7,"trailing",31,0.560873422533434,3.12
"156",-7,"leading",1,0.545388968338355,0
"157",-7,"leading",2,0.550431969961796,0.104
"158",-7,"leading",3,0.556809910810491,0.208
"159",-7,"leading",4,0.565347412935553,0.312
"160",-7,"leading",5,0.574588360674699,0.416
"161",-7,"leading",6,0.584441806805639,0.52
"162",-7,"leading",7,0.593027803993752,0.624
"163",-7,"leading",8,0.60077287396349,0.728
"164",-7,"leading",9,0.606760293036341,0.832
"165",-7,"leading",10,0.611733757154392,0.936
"166",-7,"leading",11,0.615839089195183,1.04
"167",-7,"leading",12,0.619750769828733,1.144
"168",-7,"leading",13,0.620639021349549,1.248
"169",-7,"leading",14,0.621666833428351,1.352
"170",-7,"leading",15,0.620644214653849,1.456
"171",-7,"leading",16,0.617855490667366,1.56
"172",-7,"leading",17,0.614556651744301,1.664
"173",-7,"leading",18,0.611879340104104,1.768
"174",-7,"leading",19,0.609943375050595,1.872
"175",-7,"leading",20,0.607131513970888,1.976
"176",-7,"leading",21,0.603685089273,2.08
"177",-7,"leading",22,0.600078011258209,2.184
"178",-7,"leading",23,0.59687248334405,2.288
"179",-7,"leading",24,0.592983558803652,2.392
"180",-7,"leading",25,0.589776868539661,2.496
"181",-7,"leading",26,0.583577609414594,2.6
