"","frames_relative_to_switch","sister","Position","hurp","Position_dx"
"1",-9,"trailing",1,0.0554857068868318,0
"2",-9,"trailing",2,0.0752442314476608,0.104
"3",-9,"trailing",3,0.0923003308324042,0.208
"4",-9,"trailing",4,0.104662703494404,0.312
"5",-9,"trailing",5,0.110945931422322,0.416
"6",-9,"trailing",6,0.113114984627292,0.52
"7",-9,"trailing",7,0.113910554251852,0.624
"8",-9,"trailing",8,0.114639720497476,0.728
"9",-9,"trailing",9,0.112148798226033,0.832
"10",-9,"trailing",10,0.110496436989105,0.936
"11",-9,"trailing",11,0.10810872559666,1.04
"12",-9,"trailing",12,0.104750248282193,1.144
"13",-9,"trailing",13,0.102031389411981,1.248
"14",-9,"trailing",14,0.099953211200564,1.352
"15",-9,"trailing",15,0.0969679097558482,1.456
"16",-9,"trailing",16,0.093727241378117,1.56
"17",-9,"trailing",17,0.0902373596635673,1.664
"18",-9,"trailing",18,0.08622392874586,1.768
"19",-9,"trailing",19,0.0827728851237196,1.872
"20",-9,"trailing",20,0.0800782551129121,1.976
"21",-9,"trailing",21,0.0762054378050055,2.08
"22",-9,"trailing",22,0.0729643280021625,2.184
"23",-9,"trailing",23,0.0704978205531215,2.288
"24",-9,"trailing",24,0.0660174600434293,2.392
"25",-9,"trailing",25,0.0635621007320256,2.496
"26",-9,"trailing",26,0.0605793264264077,2.6
"27",-9,"trailing",27,0.0575980515180063,2.704
"28",-9,"trailing",28,0.0549066023836724,2.808
"29",-9,"trailing",29,0.0530874999027382,2.912
"30",-9,"trailing",30,0.0503104097092584,3.016
"31",-9,"trailing",31,0.0473738264383524,3.12
"32",-9,"leading",1,0.0392667460815585,0
"33",-9,"leading",2,0.0471728061868913,0.104
"34",-9,"leading",3,0.0551412419629277,0.208
"35",-9,"leading",4,0.0625856143393296,0.312
"36",-9,"leading",5,0.0702242438431058,0.416
"37",-9,"leading",6,0.0767428970446899,0.52
"38",-9,"leading",7,0.0840515240206318,0.624
"39",-9,"leading",8,0.0905285816767383,0.728
"40",-9,"leading",9,0.095626331478937,0.832
"41",-9,"leading",10,0.0994982943977878,0.936
"42",-9,"leading",11,0.101324420664945,1.04
"43",-9,"leading",12,0.103877030333481,1.144
"44",-9,"leading",13,0.104183811853992,1.248
"45",-9,"leading",14,0.103401626592084,1.352
"46",-9,"leading",15,0.101609202220134,1.456
"47",-9,"leading",16,0.0999998094731342,1.56
"48",-9,"leading",17,0.0990270238356459,1.664
"49",-9,"leading",18,0.0959011512243292,1.768
"50",-9,"leading",19,0.0930715151643425,1.872
"51",-9,"leading",20,0.089475820336899,1.976
"52",-9,"leading",21,0.0864915251838432,2.08
"53",-9,"leading",22,0.0828394234076721,2.184
"54",-9,"leading",23,0.0791748640067882,2.288
"55",-9,"leading",24,0.0776937927018027,2.392
"56",-9,"leading",25,0.0740647464277879,2.496
"57",-9,"leading",26,0.0710321481921281,2.6
"58",-9,"leading",27,0.0676945521348068,2.704
"59",-9,"leading",28,0.0643413741525727,2.808
"60",-9,"leading",29,0.0613174708385034,2.912
"61",-9,"leading",30,0.059034833189846,3.016
"62",-9,"leading",31,0.0565394638732782,3.12
"63",-8,"trailing",1,0.0535809140952355,0
"64",-8,"trailing",2,0.0722516476380527,0.104
"65",-8,"trailing",3,0.0901655550995351,0.208
"66",-8,"trailing",4,0.10231633733989,0.312
"67",-8,"trailing",5,0.109084652009442,0.416
"68",-8,"trailing",6,0.111897413564315,0.52
"69",-8,"trailing",7,0.1128282171555,0.624
"70",-8,"trailing",8,0.113556701557636,0.728
"71",-8,"trailing",9,0.111549348332279,0.832
"72",-8,"trailing",10,0.109531942058566,0.936
"73",-8,"trailing",11,0.106923212133105,1.04
"74",-8,"trailing",12,0.104794157327261,1.144
"75",-8,"trailing",13,0.102761097584751,1.248
"76",-8,"trailing",14,0.0983124935156378,1.352
"77",-8,"trailing",15,0.0964114728302117,1.456
"78",-8,"trailing",16,0.0930039712605889,1.56
"79",-8,"trailing",17,0.0894075429947364,1.664
"80",-8,"trailing",18,0.0862007642878171,1.768
"81",-8,"trailing",19,0.0828950215607554,1.872
"82",-8,"trailing",20,0.0793411984084647,1.976
"83",-8,"trailing",21,0.0757092132248392,2.08
"84",-8,"trailing",22,0.0725488853552073,2.184
"85",-8,"trailing",23,0.0690849646294685,2.288
"86",-8,"trailing",24,0.0658019346024323,2.392
"87",-8,"trailing",25,0.0625366256494986,2.496
"88",-8,"trailing",26,0.0601533561958684,2.6
"89",-8,"trailing",27,0.057817204455791,2.704
"90",-8,"trailing",28,0.0548845483350474,2.808
"91",-8,"trailing",29,0.0522710047205002,2.912
"92",-8,"trailing",30,0.0482589499087441,3.016
"93",-8,"trailing",31,0.0464122813357714,3.12
"94",-8,"leading",1,0.037589171790177,0
"95",-8,"leading",2,0.0451398046046476,0.104
"96",-8,"leading",3,0.0519631947807627,0.208
"97",-8,"leading",4,0.0600297821993368,0.312
"98",-8,"leading",5,0.0690624745396479,0.416
"99",-8,"leading",6,0.0753920204813728,0.52
"100",-8,"leading",7,0.0826916744895184,0.624
"101",-8,"leading",8,0.0893135438067182,0.728
"102",-8,"leading",9,0.0932667760762992,0.832
"103",-8,"leading",10,0.0967113919748823,0.936
"104",-8,"leading",11,0.0995883378036767,1.04
"105",-8,"leading",12,0.101725841253021,1.144
"106",-8,"leading",13,0.103273205846671,1.248
"107",-8,"leading",14,0.102762722605833,1.352
"108",-8,"leading",15,0.102192642869474,1.456
"109",-8,"leading",16,0.100288178522915,1.56
"110",-8,"leading",17,0.0983423154303424,1.664
"111",-8,"leading",18,0.0957914168236552,1.768
"112",-8,"leading",19,0.0926433224135784,1.872
"113",-8,"leading",20,0.0890959019711194,1.976
"114",-8,"leading",21,0.0856316705286319,2.08
"115",-8,"leading",22,0.082869354141761,2.184
"116",-8,"leading",23,0.0792869688723617,2.288
"117",-8,"leading",24,0.0758416112715653,2.392
"118",-8,"leading",25,0.0728888554772739,2.496
"119",-8,"leading",26,0.0697265698731994,2.6
"120",-8,"leading",27,0.0668763186611293,2.704
"121",-8,"leading",28,0.063359444047828,2.808
"122",-8,"leading",29,0.0606499220565729,2.912
"123",-8,"leading",30,0.0585113688179756,3.016
"124",-8,"leading",31,0.0552469872045337,3.12
"125",-7,"trailing",1,0.0505850840926814,0
"126",-7,"trailing",2,0.0700669289037936,0.104
"127",-7,"trailing",3,0.0868983031540206,0.208
"128",-7,"trailing",4,0.099917619945826,0.312
